Order_ID,Order_Date,Customer_Name,Product_ID,Quantity,Total_Price
e32af09a-b6ab-497e-af3a-331e4d4ed6e7,2020-06-03 06:49:00,Dominic Buchanan,2ef6e8fa-6a36-4515-b1c2-a0a700abf386,2,501.14
86eb8859-14ab-4d4e-9267-c5826f4e0c8e,,Daniel Allen,3ba38e01-f8e7-4af2-9246-87ef0961d4f5,6,1078.86
7379b560-8897-4623-92a2-523ddcdc43a1,2021-11-05 04:33:00,Daniel Schmidt,a58c53bd-a34b-4541-b926-bec9eb84cac2,7,4203.85
30c57f86-2fed-43c0-a399-654c2c3bb18d,2023-12-09 01:47:00,John Gonzalez,e6021be5-90be-4199-b6c6-82542fb2973c,9,3729.24
41c29d81-9622-43c1-b537-7cdb320d3e6a,,Amber Benitez,60127671-ab32-4fb5-bfeb-1a7782ad835e,9,6336.45
0b8915d7-0614-47c4-88be-25aae8fa477b,2020-08-05 13:26:00,Sandra Williams,0d1b37a3-8159-4e28-841b-06971fe73e28,7,6661.83
5f05f9e8-57c3-4610-bc41-3c2ccbe3e783,,Sydney Johnson,9e82b85c-d4d6-4235-91f1-137fb41529ca,1,688.47
0abf28e1-7a76-47d5-9d66-2fe2ca920fda,,Mary Douglas,48ba3e86-167d-4b02-a5e8-0885e946edcb,4,2419.28
73129f55-e6fd-45b1-a3ac-fef5fae85dd7,2021-02-02 11:44:00,Mrs. Courtney Lawson,74416f33-d5da-409c-b483-ac019b19f5c3,5,4395.9
17647c6b-d1cc-4c86-a1d1-b06641de1574,2020-12-07 19:08:00,Eric Ford,69caf9a6-a313-489d-a21e-1bcab6ea430e,6,5067.9
a16962fd-0ae2-45cd-bc79-bb5c8fc3c76c,,Joseph Martin,2009dc42-c675-48f2-aef9-b3a86556d508,5,4485.6
444dee20-f3e7-4a46-94bf-86f28f3218db,,Justin Mullen,d47180ed-6607-4dd0-a521-303b187bfeb3,10,4545.5
2bad61d7-1e00-4280-9c63-851860da9097,,James Green,d96c5a13-1fbd-43a3-bcfc-83f5b139403b,5,3152.65
f4ca896e-9500-4cad-830b-1d4c264d2e17,2024-05-02 03:13:00,Stephanie Garcia,0a59ce14-fd99-4ded-bd19-4b22a52543fa,4,2968.64
7b10e89e-29e2-49df-951b-cb69f5d63fd7,,Diane Brown,152d1d94-2f29-4bd0-a1c7-8e3489a65c0f,9,7182.27
596d5762-2de9-4c0f-aa7c-7e6eefefb2fb,,Patricia Carter,82a088c5-b4be-4e1c-90d5-5fd8c20080fe,4,970.96
4e830cf0-ea4b-451d-b5ed-753db1dfe1fc,2020-04-09 21:52:00,Lisa Nelson,273e9342-c3f2-47b0-b00d-81cfe7c77be9,4,2710.16
